"date","lip","lcpi","lpcom","unemp","ffr","gs1","ebp","shock_wieland","lip_lag1","lip_lag2","unemp_lag1","unemp_lag2","lcpi_lag1","lcpi_lag2","lpcom_lag1","lpcom_lag2","ffr_lag1","ffr_lag2","shock_wieland_lag1","dep_lead","shock_bauer","shock_bs_lag1","shock_bauer_lag1","shock_bauer_lag2"
2012-10-01,4.58017130150127,5.44517580823294,531.566600488265,7.8,0.16,0.18,6.59,-0.00745,4.5769939375784,4.57752557052152,7.8,8.1,5.44248264347854,5.43772272361508,532.007885832955,531.172705345795,0.14,0.13,1.56222,4.59232503919541,-0.00825217104879055,-0.00745520786746464,-0.00745520786746464,0.0121450433402153
2012-11-01,4.58403234769431,5.44349505205886,530.727710791951,7.7,0.16,0.18,6.53,NA,4.58017130150127,4.5769939375784,7.8,7.8,5.44517580823294,5.44248264347854,531.566600488265,532.007885832955,0.16,0.14,-0.00745,4.58847458687694,0,-0.00825217104879055,-0.00825217104879055,-0.00745520786746464
2012-12-01,4.58688808211005,5.44337396312321,530.578938138674,7.9,0.16,0.16,6.31,0.12671,4.58403234769431,4.58017130150127,7.7,7.8,5.44349505205886,5.44517580823294,530.727710791951,531.566600488265,0.16,0.16,NA,4.59552986707626,-0.0138593635532921,0,0,-0.00825217104879055
2013-01-01,4.58673734011284,5.44535279288969,531.073988654659,8,0.14,0.15,6.09,-0.03234,4.58688808211005,4.58403234769431,7.9,7.7,5.44337396312321,5.44349505205886,530.578938138674,530.727710791951,0.16,0.16,0.12671,4.59325751099648,-0.0156893899726719,-0.0138593635532921,-0.0138593635532921,0
2013-02-01,4.5915113270374,5.45076803073865,531.958950182358,7.7,0.15,0.16,6.03,NA,4.58673734011284,4.58688808211005,8,7.9,5.44535279288969,5.44337396312321,531.073988654659,530.578938138674,0.14,0.16,-0.03234,4.58940252724637,0,-0.0156893899726719,-0.0156893899726719,-0.0138593635532921
2013-03-01,4.59559448495241,5.4479521507647,531.811999384422,7.5,0.14,0.15,5.91,0.02674,4.5915113270374,4.58673734011284,7.7,8,5.45076803073865,5.44535279288969,531.958950182358,531.073988654659,0.15,0.14,NA,4.59561669638302,-0.0148811337526841,0,0,-0.0156893899726719
2013-04-01,4.59455908687565,5.44586198863036,531.566600488265,7.6,0.15,0.12,5.48,NA,4.59559448495241,4.5915113270374,7.5,7.7,5.4479521507647,5.45076803073865,531.811999384422,531.958950182358,0.14,0.15,0.02674,4.60558609948408,0,-0.0148811337526841,-0.0148811337526841,0
2013-05-01,4.59550664400706,5.44627605838114,531.86100698158,7.5,0.11,0.12,5.93,0.30868,4.59455908687565,4.59559448495241,7.6,7.5,5.44586198863036,5.4479521507647,531.566600488265,531.811999384422,0.15,0.14,NA,4.60644936748647,0.00173031546497353,0,0,-0.0148811337526841
2013-06-01,4.59736077173661,5.4486536379031,531.958950182358,7.5,0.09,0.14,6.82,0.71926,4.59550664400706,4.59455908687565,7.5,7.6,5.44627605838114,5.44586198863036,531.86100698158,531.566600488265,0.11,0.15,0.30868,4.60853452026352,-0.0020595483876696,0.00173031546497353,0.00173031546497353,0
2013-07-01,4.59409609395178,5.4506091768903,532.007885832955,7.3,0.09,0.12,6.34,-0.03236,4.59736077173661,4.59550664400706,7.5,7.5,5.4486536379031,5.44627605838114,531.958950182358,531.86100698158,0.09,0.11,0.71926,4.60603481209119,-4.32686910584808e-05,-0.0020595483876696,-0.0020595483876696,0.00173031546497353
2013-08-01,4.60005412121829,5.45299362252167,531.909990573056,7.2,0.08,0.13,6.54,NA,4.59409609395178,4.59736077173661,7.3,7.5,5.4506091768903,5.4486536379031,532.007885832955,531.958950182358,0.09,0.09,-0.03236,4.60148640920634,0,-4.32686910584808e-05,-4.32686910584808e-05,-0.0020595483876696
2013-09-01,4.60538016394118,5.4533704961878,531.762967758041,7.2,0.08,0.12,6.47,0.18091,4.60005412121829,4.59409609395178,7.2,7.3,5.45299362252167,5.4506091768903,531.909990573056,532.007885832955,0.08,0.09,NA,4.60264901049438,-0.0129952643948317,0,0,-4.32686910584808e-05
2013-10-01,4.60420672200569,5.45390558405129,531.073988654659,7.2,0.09,0.12,5.93,-0.04724,4.60538016394118,4.60005412121829,7.2,7.2,5.4533704961878,5.45299362252167,531.762967758041,531.909990573056,0.08,0.08,0.18091,4.6150145706351,-0.0117623316172004,-0.0129952643948317,-0.0129952643948317,0
2013-11-01,4.6067509359443,5.45574837449687,530.429943822558,6.9,0.08,0.12,5.93,NA,4.60420672200569,4.60538016394118,7.2,7.2,5.45390558405129,5.4533704961878,531.073988654659,531.762967758041,0.09,0.08,-0.04724,4.6175857923825,0,-0.0117623316172004,-0.0117623316172004,-0.0129952643948317
2013-12-01,4.6089032095772,5.45838905399023,530.826769740121,6.7,0.09,0.13,5.93,0.20528,4.6067509359443,4.60420672200569,6.9,7.2,5.45574837449687,5.45390558405129,530.429943822558,531.073988654659,0.08,0.09,NA,4.61993169680871,-0.0156540337235128,0,0,-0.0117623316172004
2014-01-01,4.60506918088725,5.46081029570781,531.713912078862,6.6,0.07,0.12,5.91,0.37934,4.6089032095772,4.6067509359443,6.7,6.9,5.45838905399023,5.45574837449687,530.826769740121,530.429943822558,0.09,0.08,0.20528,4.61991297504224,0.0116798667564085,-0.0156540337235128,-0.0156540337235128,0
2014-02-01,4.61261341629342,5.46191046891551,532.641879665891,6.7,0.07,0.12,5.51,NA,4.60506918088725,4.6089032095772,6.6,6.7,5.46081029570781,5.45838905399023,531.713912078862,530.826769740121,0.07,0.09,0.37934,4.62234092152105,0,0.0116798667564085,0.0116798667564085,-0.0156540337235128
2014-03-01,4.62245494021828,5.46395044205576,533.271879326537,6.7,0.08,0.13,5.63,0.00076,4.61261341629342,4.60506918088725,6.7,6.6,5.46191046891551,5.46081029570781,532.641879665891,531.713912078862,0.07,0.07,NA,4.6268759032201,0.00504078652364714,0,0,0.0116798667564085
2014-04-01,4.62327824105252,5.46581289222332,533.897934826693,6.2,0.09,0.11,5.53,0.01199,4.62245494021828,4.61261341629342,6.7,6.7,5.46395044205576,5.46191046891551,533.271879326537,532.641879665891,0.08,0.07,0.00076,4.6381706317898,-0.00556643240442764,0.00504078652364714,0.00504078652364714,0
2014-05-01,4.62731516587248,5.46771408970506,533.753807970132,6.3,0.09,0.1,5.33,NA,4.62327824105252,4.62245494021828,6.2,6.7,5.46581289222332,5.46395044205576,533.897934826693,533.271879326537,0.09,0.08,0.01199,4.62870114851446,0,-0.00556643240442764,-0.00556643240442764,0.00504078652364714
2014-06-01,4.63061763556855,5.46903434998386,533.897934826693,6.1,0.1,0.1,5.28,0.09681,4.62731516587248,4.62327824105252,6.3,6.2,5.46771408970506,5.46581289222332,533.753807970132,533.897934826693,0.09,0.09,NA,4.63691688430067,0.0130429858204695,0,0,-0.00556643240442764
2014-07-01,4.63274060493817,5.47015920238661,533.753807970132,6.2,0.09,0.11,5.9,0.10129,4.63061763556855,4.62731516587248,6.1,6.3,5.46903434998386,5.46771408970506,533.897934826693,533.753807970132,0.1,0.09,0.09681,4.63818030712427,-0.000884643254434343,0.0130429858204695,0.0130429858204695,0
2014-08-01,4.63115172365509,5.46999918823765,533.271879326537,6.1,0.09,0.11,5.55,NA,4.63274060493817,4.63061763556855,6.2,6.1,5.47015920238661,5.46903434998386,533.753807970132,533.897934826693,0.09,0.1,0.10129,4.64495324099755,0,-0.000884643254434343,-0.000884643254434343,0.0130429858204695
2014-09-01,4.6341628085627,5.47007077667993,532.981603360741,5.9,0.09,0.11,6.26,0.10334,4.63115172365509,4.63274060493817,6.1,6.2,5.46999918823765,5.47015920238661,533.271879326537,533.753807970132,0.09,0.09,NA,4.64538847831684,0.0396253639824343,0,0,-0.000884643254434343
2014-10-01,4.63435124699148,5.46987284318915,531.517448361446,5.7,0.09,0.1,6.01,-0.04859,4.6341628085627,4.63115172365509,5.9,6.1,5.47007077667993,5.46999918823765,532.981603360741,533.271879326537,0.09,0.09,0.10334,4.6437147090379,0.051125507750037,0.0396253639824343,0.0396253639824343,0
2014-11-01,4.64051609407867,5.46798840860461,530.280727182089,5.8,0.09,0.13,6.27,NA,4.63435124699148,4.6341628085627,5.7,5.9,5.46987284318915,5.47007077667993,531.517448361446,532.981603360741,0.09,0.09,-0.04859,4.64451204564899,0,0.051125507750037,0.051125507750037,0.0396253639824343
2014-12-01,4.64068307210021,5.46489903194648,528.320372873799,5.6,0.12,0.21,6.71,0.17688,4.64051609407867,4.63435124699148,5.8,5.7,5.46798840860461,5.46987284318915,530.280727182089,531.517448361446,0.09,0.09,NA,4.64482445898687,-0.034972788543288,0,0,0.051125507750037
2015-01-01,4.63271044749198,5.458508338454,525.749537202778,5.7,0.11,0.2,6.51,0.41148,4.64068307210021,4.64051609407867,5.6,5.8,5.46489903194648,5.46798840860461,528.320372873799,530.280727182089,0.12,0.09,0.17688,4.6382161050479,0.0249920738997153,-0.034972788543288,-0.034972788543288,0
2015-02-01,4.62631113302104,5.4610397753425,525.279685124623,5.5,0.11,0.22,6.01,NA,4.63271044749198,4.64068307210021,5.7,5.6,5.458508338454,5.46489903194648,525.749537202778,528.320372873799,0.11,0.12,0.41148,4.63302948664215,0,0.0249920738997153,0.0249920738997153,-0.034972788543288
2015-03-01,4.62288141214245,5.46373010493908,525.48878086207,5.4,0.11,0.25,6.28,0.0463,4.62631113302104,4.63271044749198,5.5,5.7,5.4610397753425,5.458508338454,525.279685124623,525.749537202778,0.11,0.11,NA,4.63313645869143,-0.0513829080812921,0,0,0.0249920738997153
2015-04-01,4.61735070139726,5.46477204083146,525.17497307317,5.4,0.12,0.23,6.12,0.02648,4.62288141214245,4.62631113302104,5.4,5.5,5.46373010493908,5.4610397753425,525.48878086207,525.279685124623,0.11,0.11,0.0463,4.62766330830145,0.0220191261240318,-0.0513829080812921,-0.0513829080812921,0
